feature,Mean R²,Median R²,Std Dev,Min,Max,Positive Share
^GSPC,0.004,0.003,0.007,-0.005,0.023,0.8
RevUSD,0.008,0.006,0.015,-0.02,0.04,0.7333
Risk_Free,0.007,0.006,0.013,-0.019,0.023,0.7333
Ten_Year,0.011,0.014,0.014,-0.014,0.036,0.7333
DiffMean,0.006,0.008,0.011,-0.015,0.021,0.7333
Expected_Inflation,0.005,0.008,0.011,-0.017,0.024,0.6667
Two_Year,0.005,0.008,0.009,-0.014,0.015,0.6667
USD_Index,0.004,0.004,0.01,-0.016,0.025,0.6667
HashRate,0.004,0.008,0.015,-0.021,0.031,0.6
Term_Spread,0.007,0.005,0.015,-0.016,0.036,0.6
TxTfrValAdjUSD,-0.004,0.002,0.024,-0.064,0.021,0.6
URTH,0.002,0.001,0.009,-0.011,0.02,0.5333
BlkCnt,-0.027,0.001,0.057,-0.174,0.022,0.5333
BlkSizeMeanByte,-0.004,-0.004,0.022,-0.063,0.036,0.3333
US_News_Sentiment,-0.015,-0.016,0.034,-0.086,0.037,0.2667
FeeMeanUSD,-0.026,-0.02,0.03,-0.085,0.015,0.2
OAS,-0.011,-0.009,0.023,-0.078,0.02,0.2
VIX,-0.028,-0.018,0.033,-0.106,0.014,0.2
