model,feature,train_size,DM_stat,p_value,significant_5pct
ols,BlkCnt,30,0.2362,0.8133,False
ols,BlkCnt,45,1.6249,0.1043,False
ols,BlkCnt,60,-0.0538,0.9571,False
ols,BlkCnt,75,1.4633,0.1435,False
ols,BlkCnt,90,-0.2317,0.8168,False
ols,BlkSizeMeanByte,30,0.0229,0.9817,False
ols,BlkSizeMeanByte,45,-0.0687,0.9452,False
ols,BlkSizeMeanByte,60,-0.1683,0.8663,False
ols,BlkSizeMeanByte,75,0.723,0.4698,False
ols,BlkSizeMeanByte,90,-0.4239,0.6717,False
ols,DiffMean,30,-0.9055,0.3653,False
ols,DiffMean,45,0.3625,0.717,False
ols,DiffMean,60,-0.4408,0.6594,False
ols,DiffMean,75,0.9757,0.3293,False
ols,DiffMean,90,-1.4279,0.1535,False
ols,FeeMeanUSD,30,3.2216,0.0013,True
ols,FeeMeanUSD,45,2.2476,0.0247,True
ols,FeeMeanUSD,60,2.1014,0.0357,True
ols,FeeMeanUSD,75,1.5406,0.1236,False
ols,FeeMeanUSD,90,0.7553,0.4502,False
ols,HashRate,30,-0.3446,0.7304,False
ols,HashRate,45,0.437,0.6622,False
ols,HashRate,60,0.1295,0.8969,False
ols,HashRate,75,1.2971,0.1947,False
ols,HashRate,90,-1.55,0.1213,False
ols,RevUSD,30,-1.336,0.1817,False
ols,RevUSD,45,1.1447,0.2525,False
ols,RevUSD,60,1.002,0.3165,False
ols,RevUSD,75,-0.2634,0.7923,False
ols,RevUSD,90,0.1262,0.8996,False
ols,TxTfrValAdjUSD,30,1.1985,0.2309,False
ols,TxTfrValAdjUSD,45,-1.1414,0.2538,False
ols,TxTfrValAdjUSD,60,0.1598,0.873,False
ols,TxTfrValAdjUSD,75,0.9794,0.3275,False
ols,TxTfrValAdjUSD,90,0.0839,0.9332,False
ols,URTH,30,-1.1896,0.2343,False
ols,URTH,45,0.6916,0.4893,False
ols,URTH,60,0.4989,0.6179,False
ols,URTH,75,0.128,0.8982,False
ols,URTH,90,-1.2789,0.2011,False
ols,^GSPC,30,-1.0881,0.2767,False
ols,^GSPC,45,-0.6371,0.5241,False
ols,^GSPC,60,-1.0156,0.3099,False
ols,^GSPC,75,1.2377,0.216,False
ols,^GSPC,90,0.4652,0.6419,False
ols,Risk_Free,30,-0.9108,0.3625,False
ols,Risk_Free,45,1.5356,0.1248,False
ols,Risk_Free,60,0.2769,0.7819,False
ols,Risk_Free,75,0.7383,0.4604,False
ols,Risk_Free,90,-1.9019,0.0573,False
ols,OAS,30,3.1766,0.0015,True
ols,OAS,45,2.3155,0.0207,True
ols,OAS,60,2.496,0.0126,True
ols,OAS,75,1.9015,0.0574,False
ols,OAS,90,1.8033,0.0715,False
ols,Ten_Year,30,0.4661,0.6412,False
ols,Ten_Year,45,-1.2783,0.2013,False
ols,Ten_Year,60,0.2089,0.8346,False
ols,Ten_Year,75,0.5155,0.6063,False
ols,Ten_Year,90,-0.2929,0.7696,False
ols,Two_Year,30,0.2817,0.7782,False
ols,Two_Year,45,1.2327,0.2178,False
ols,Two_Year,60,0.2745,0.7837,False
ols,Two_Year,75,-0.4958,0.6201,False
ols,Two_Year,90,-2.059,0.0396,True
ols,Term_Spread,30,0.0648,0.9483,False
ols,Term_Spread,45,-0.9623,0.336,False
ols,Term_Spread,60,-0.6877,0.4917,False
ols,Term_Spread,75,1.9493,0.0514,False
ols,Term_Spread,90,-0.6499,0.5158,False
ols,VIX,30,2.813,0.005,True
ols,VIX,45,1.6452,0.1001,False
ols,VIX,60,3.8097,0.0001,True
ols,VIX,75,2.3613,0.0183,True
ols,VIX,90,0.6312,0.528,False
ols,USD_Index,30,-0.2382,0.8117,False
ols,USD_Index,45,-0.0098,0.9922,False
ols,USD_Index,60,-0.693,0.4884,False
ols,USD_Index,75,0.6784,0.4976,False
ols,USD_Index,90,-1.7679,0.0772,False
ols,Expected_Inflation,30,0.1254,0.9002,False
ols,Expected_Inflation,45,0.9251,0.355,False
ols,Expected_Inflation,60,-0.0966,0.923,False
ols,Expected_Inflation,75,0.3874,0.6985,False
ols,Expected_Inflation,90,0.339,0.7347,False
ols,US_News_Sentiment,30,3.6883,0.0002,True
ols,US_News_Sentiment,45,2.7698,0.0057,True
ols,US_News_Sentiment,60,2.3567,0.0185,True
ols,US_News_Sentiment,75,2.5361,0.0113,True
ols,US_News_Sentiment,90,0.928,0.3535,False
rf,BlkCnt,30,-0.7303,0.4653,False
rf,BlkCnt,45,-1.4876,0.137,False
rf,BlkCnt,60,-0.2089,0.8346,False
rf,BlkCnt,75,-0.464,0.6427,False
rf,BlkCnt,90,0.8254,0.4093,False
rf,BlkSizeMeanByte,30,-1.0084,0.3134,False
rf,BlkSizeMeanByte,45,-0.4822,0.6297,False
rf,BlkSizeMeanByte,60,0.3797,0.7042,False
rf,BlkSizeMeanByte,75,0.6805,0.4963,False
rf,BlkSizeMeanByte,90,0.0475,0.9622,False
rf,DiffMean,30,-1.6249,0.1043,False
rf,DiffMean,45,-0.6323,0.5273,False
rf,DiffMean,60,-0.297,0.7665,False
rf,DiffMean,75,0.9589,0.3377,False
rf,DiffMean,90,0.1558,0.8762,False
rf,FeeMeanUSD,30,-0.868,0.3855,False
rf,FeeMeanUSD,45,1.0728,0.2835,False
rf,FeeMeanUSD,60,0.8323,0.4053,False
rf,FeeMeanUSD,75,1.5059,0.1322,False
rf,FeeMeanUSD,90,-0.1355,0.8922,False
rf,HashRate,30,-1.2291,0.2192,False
rf,HashRate,45,-0.9889,0.3228,False
rf,HashRate,60,-0.1097,0.9126,False
rf,HashRate,75,1.0094,0.3129,False
rf,HashRate,90,0.278,0.7811,False
rf,RevUSD,30,-2.2851,0.0224,True
rf,RevUSD,45,-0.3081,0.7581,False
rf,RevUSD,60,-0.328,0.743,False
rf,RevUSD,75,0.9436,0.3455,False
rf,RevUSD,90,0.5373,0.5911,False
rf,TxTfrValAdjUSD,30,-2.2775,0.0229,True
rf,TxTfrValAdjUSD,45,-1.5092,0.1314,False
rf,TxTfrValAdjUSD,60,0.4043,0.686,False
rf,TxTfrValAdjUSD,75,-0.0058,0.9953,False
rf,TxTfrValAdjUSD,90,0.0982,0.9218,False
rf,URTH,30,-1.9966,0.046,True
rf,URTH,45,0.4989,0.6179,False
rf,URTH,60,0.1154,0.9082,False
rf,URTH,75,0.9295,0.3527,False
rf,URTH,90,0.6441,0.5196,False
rf,^GSPC,30,-1.2342,0.2173,False
rf,^GSPC,45,-1.0778,0.2812,False
rf,^GSPC,60,0.356,0.7219,False
rf,^GSPC,75,-0.0795,0.9366,False
rf,^GSPC,90,-0.0565,0.9549,False
rf,Risk_Free,30,-1.5122,0.1306,False
