feature,RMSE_ols_ts30,RMSE_rf_ts30,RMSE_xgb_ts30,RMSE_mlp_ts30,RMSE_svr_ts30,RMSE_ols_ts45,RMSE_rf_ts45,RMSE_xgb_ts45,RMSE_mlp_ts45,RMSE_svr_ts45,RMSE_ols_ts60,RMSE_rf_ts60,RMSE_xgb_ts60,RMSE_mlp_ts60,RMSE_svr_ts60,RMSE_ols_ts75,RMSE_rf_ts75,RMSE_xgb_ts75,RMSE_mlp_ts75,RMSE_svr_ts75,RMSE_ols_ts90,RMSE_rf_ts90,RMSE_xgb_ts90,RMSE_mlp_ts90,RMSE_svr_ts90
BlkCnt,0.0731,0.0444,0.0525,0.0731,0.0473,0.0747,0.0435,0.0508,0.0747,0.0471,0.0711,0.0437,0.0506,0.0711,0.0465,0.0734,0.0435,0.0505,0.0734,0.047,0.0716,0.0437,0.0497,0.0716,0.0432
BlkSizeMeanByte,0.0727,0.0444,0.0516,0.0727,0.0472,0.0714,0.0438,0.0508,0.0714,0.0448,0.0709,0.0438,0.0507,0.0709,0.0439,0.0713,0.0439,0.051,0.0713,0.0433,0.0713,0.0435,0.0501,0.0713,0.0438
DiffMean,0.0709,0.0443,0.052,0.0709,0.0461,0.0722,0.0438,0.0501,0.0722,0.0443,0.0704,0.0436,0.0501,0.0704,0.0445,0.0718,0.044,0.05,0.0718,0.0434,0.0696,0.0435,0.0498,0.0696,0.0435
Expected_Inflation,0.0729,0.0444,0.0521,0.0729,0.0454,0.0733,0.0437,0.0504,0.0733,0.0443,0.0711,0.044,0.0504,0.0711,0.0444,0.0706,0.0437,0.0501,0.0706,0.0435,0.0727,0.0435,0.0503,0.0727,0.0432
FeeMeanUSD,0.08,0.0444,0.0523,0.08,0.0476,0.076,0.0441,0.0512,0.076,0.0464,0.0759,0.044,0.0517,0.0759,0.046,0.0733,0.0441,0.051,0.0733,0.0441,0.0738,0.0434,0.0504,0.0738,0.0434
HashRate,0.072,0.0444,0.0519,0.072,0.0461,0.0723,0.0437,0.0503,0.0723,0.0447,0.0715,0.0437,0.0502,0.0715,0.0447,0.0723,0.044,0.0503,0.0723,0.0438,0.0692,0.0435,0.0493,0.0692,0.043
OAS,0.0792,0.0442,0.0523,0.0792,0.0475,0.0759,0.0441,0.0509,0.0759,0.0452,0.0763,0.044,0.0508,0.0763,0.0443,0.0737,0.0439,0.0507,0.0737,0.0435,0.0759,0.0436,0.0505,0.0759,0.0434
PriceUSD,0.0726,0.0446,0.0522,0.0726,0.0458,0.0715,0.0439,0.0506,0.0715,0.0445,0.0712,0.0437,0.0506,0.0712,0.0447,0.0699,0.0437,0.0505,0.0699,0.0433,0.0721,0.0434,0.0499,0.0721,0.0437
RevUSD,0.0702,0.0442,0.0515,0.0702,0.0463,0.0735,0.0438,0.0504,0.0735,0.044,0.0731,0.0436,0.0503,0.0731,0.0443,0.0694,0.0439,0.0503,0.0694,0.0433,0.0723,0.0436,0.0499,0.0723,0.0428
Risk_Free,0.071,0.0444,0.0516,0.071,0.0453,0.0744,0.0437,0.051,0.0744,0.0442,0.0717,0.0435,0.0507,0.0717,0.0442,0.0713,0.044,0.0504,0.0713,0.0434,0.0688,0.0434,0.0497,0.0688,0.0432
Ten_Year,0.0736,0.0443,0.0523,0.0736,0.0454,0.0692,0.0434,0.0502,0.0692,0.0438,0.0716,0.0437,0.0506,0.0716,0.0438,0.0708,0.0433,0.0508,0.0708,0.043,0.0715,0.0437,0.0497,0.0715,0.0434
Term_Spread,0.0728,0.0444,0.0521,0.0728,0.0458,0.0698,0.0438,0.0506,0.0698,0.0437,0.07,0.0437,0.0501,0.07,0.0444,0.0735,0.044,0.0499,0.0735,0.0437,0.0709,0.0436,0.0494,0.0709,0.0433
Two_Year,0.0732,0.0444,0.0518,0.0732,0.0457,0.0737,0.0436,0.0507,0.0737,0.0442,0.0717,0.0437,0.0503,0.0717,0.0444,0.069,0.0438,0.0507,0.069,0.0431,0.0685,0.0434,0.0502,0.0685,0.0435
TxTfrValAdjUSD,0.0755,0.0442,0.0518,0.0755,0.0472,0.0695,0.0435,0.0504,0.0695,0.0455,0.0715,0.0439,0.0502,0.0715,0.0442,0.0717,0.0437,0.0509,0.0717,0.0439,0.0723,0.0435,0.0498,0.0723,0.0435
URTH,0.0704,0.0442,0.052,0.0704,0.0459,0.0728,0.044,0.0505,0.0728,0.0444,0.0721,0.0438,0.0502,0.0721,0.0444,0.0701,0.0439,0.0508,0.0701,0.0432,0.0697,0.0436,0.0498,0.0697,0.0437
USD_Index,0.0722,0.0441,0.0526,0.0722,0.0458,0.0715,0.0436,0.0504,0.0715,0.0444,0.07,0.0434,0.0504,0.07,0.0444,0.0712,0.0435,0.0506,0.0712,0.0434,0.0686,0.0434,0.0502,0.0686,0.0437
US_News_Sentiment,0.081,0.0441,0.0526,0.081,0.0477,0.0768,0.0439,0.0505,0.0768,0.046,0.0765,0.0439,0.0513,0.0765,0.0439,0.0749,0.0439,0.0514,0.0749,0.0437,0.0739,0.0438,0.0507,0.0739,0.0429
VIX,0.0794,0.0443,0.0527,0.0794,0.047,0.0751,0.0438,0.0509,0.0751,0.0454,0.0825,0.0443,0.051,0.0825,0.0461,0.0767,0.0437,0.0503,0.0767,0.0456,0.0733,0.0437,0.0505,0.0733,0.0452
^GSPC,0.0706,0.0444,0.0516,0.0706,0.0459,0.0704,0.0436,0.0505,0.0704,0.0444,0.0694,0.0438,0.0505,0.0694,0.0445,0.0723,0.0436,0.0505,0.0723,0.0432,0.073,0.0434,0.0499,0.073,0.0436
