model,tag,train_size,n_vars,rmse
ols,top1,30,1,0.0545
ols,top1,45,1,0.0472
ols,top1,60,1,0.0454
ols,top1,75,1,0.0443
ols,top1,90,1,0.0435
ols,top3,30,3,0.0587
ols,top3,45,3,0.0503
ols,top3,60,3,0.0476
ols,top3,75,3,0.046
ols,top3,90,3,0.045
ols,top5,30,5,0.0629
ols,top5,45,5,0.0525
ols,top5,60,5,0.0489
ols,top5,75,5,0.0471
ols,top5,90,5,0.0459
ols,top7,30,7,0.0681
ols,top7,45,7,0.0546
ols,top7,60,7,0.0499
ols,top7,75,7,0.0478
ols,top7,90,7,0.0464
rf,top1,30,1,0.0442
rf,top1,45,1,0.0438
rf,top1,60,1,0.0437
rf,top1,75,1,0.0435
rf,top1,90,1,0.0435
rf,top3,30,3,0.0441
rf,top3,45,3,0.0436
rf,top3,60,3,0.044
rf,top3,75,3,0.0437
rf,top3,90,3,0.0435
rf,top5,30,5,0.044
rf,top5,45,5,0.0436
rf,top5,60,5,0.044
rf,top5,75,5,0.0438
rf,top5,90,5,0.0435
rf,top7,30,7,0.0443
rf,top7,45,7,0.0436
rf,top7,60,7,0.0438
rf,top7,75,7,0.044
rf,top7,90,7,0.0435
xgb,top1,30,1,0.0498
xgb,top1,45,1,0.0482
xgb,top1,60,1,0.0481
xgb,top1,75,1,0.0479
xgb,top1,90,1,0.0473
xgb,top3,30,3,0.0497
xgb,top3,45,3,0.0482
xgb,top3,60,3,0.0481
xgb,top3,75,3,0.0482
xgb,top3,90,3,0.0472
xgb,top5,30,5,0.0494
xgb,top5,45,5,0.0485
xgb,top5,60,5,0.0482
xgb,top5,75,5,0.0484
xgb,top5,90,5,0.0473
xgb,top7,30,7,0.0497
xgb,top7,45,7,0.0484
xgb,top7,60,7,0.0485
xgb,top7,75,7,0.0485
xgb,top7,90,7,0.0477
svr,top1,30,1,0.0454
svr,top1,45,1,0.0452
svr,top1,60,1,0.045
svr,top1,75,1,0.0442
svr,top1,90,1,0.0443
svr,top3,30,3,0.0454
svr,top3,45,3,0.0451
svr,top3,60,3,0.0449
svr,top3,75,3,0.0438
svr,top3,90,3,0.0442
svr,top5,30,5,0.0452
svr,top5,45,5,0.0451
svr,top5,60,5,0.0449
svr,top5,75,5,0.0437
svr,top5,90,5,0.0443
svr,top7,30,7,0.0457
svr,top7,45,7,0.0451
svr,top7,60,7,0.0447
svr,top7,75,7,0.0442
svr,top7,90,7,0.0442
mlp,top1,30,1,0.0696
mlp,top1,45,1,0.0704
mlp,top1,60,1,0.0723
mlp,top1,75,1,0.0712
mlp,top1,90,1,0.0689
mlp,top3,30,3,0.0729
mlp,top3,45,3,0.0741
mlp,top3,60,3,0.0733
mlp,top3,75,3,0.0677
mlp,top3,90,3,0.0717
mlp,top5,30,5,0.0715
mlp,top5,45,5,0.0727
mlp,top5,60,5,0.0714
mlp,top5,75,5,0.0706
mlp,top5,90,5,0.0719
mlp,top7,30,7,0.0717
mlp,top7,45,7,0.074
mlp,top7,60,7,0.0704
mlp,top7,75,7,0.0722
mlp,top7,90,7,0.0702
