feature,RMSE_ols_ts20,RMSE_rf_ts20,RMSE_xgb_ts20,RMSE_mlp_ts20,RMSE_svr_ts20,RMSE_ols_ts25,RMSE_rf_ts25,RMSE_xgb_ts25,RMSE_mlp_ts25,RMSE_svr_ts25,RMSE_ols_ts30,RMSE_rf_ts30,RMSE_xgb_ts30,RMSE_mlp_ts30,RMSE_svr_ts30,RMSE_ols_ts35,RMSE_rf_ts35,RMSE_xgb_ts35,RMSE_mlp_ts35,RMSE_svr_ts35,RMSE_ols_ts40,RMSE_rf_ts40,RMSE_xgb_ts40,RMSE_mlp_ts40,RMSE_svr_ts40,RMSE_ols_ts45,RMSE_rf_ts45,RMSE_xgb_ts45,RMSE_mlp_ts45,RMSE_svr_ts45
BlkCnt,0.0645,0.0459,0.0553,0.0655,0.0509,0.0572,0.0455,0.0535,0.0646,0.0503,0.0536,0.0455,0.0545,0.0636,0.0493,0.0515,0.0452,0.0531,0.0631,0.0481,0.049,0.0451,0.052,0.0632,0.048,,,,,
BlkSizeMeanByte,0.0659,0.0465,0.0553,0.0586,0.0502,0.058,0.0457,0.0537,0.0578,0.0508,0.0542,0.0456,0.0534,0.0575,0.0509,0.0514,0.0454,0.0526,0.0575,0.0512,0.0491,0.0453,0.0515,0.0571,0.0512,,,,,
DiffMean,0.4775,0.0463,0.0546,0.0491,0.0489,0.3154,0.0456,0.0525,0.0488,0.049,0.0635,0.0455,0.0527,0.0487,0.0497,0.0575,0.0453,0.0521,0.0483,0.05,0.0557,0.0453,0.0508,0.0481,0.0507,,,,,
Expected_Inflation,0.0651,0.0462,0.0548,0.0494,0.0484,0.0576,0.0453,0.0533,0.0491,0.0485,0.0535,0.0454,0.0535,0.049,0.0493,0.0512,0.0452,0.053,0.0486,0.0497,0.0489,0.0451,0.0516,0.0484,0.0504,,,,,
FeeMeanUSD,0.0696,0.0464,0.0553,0.0657,0.0511,0.0592,0.0456,0.054,0.067,0.0505,0.0554,0.0457,0.0539,0.0683,0.0504,0.053,0.0455,0.0536,0.0688,0.0503,0.0503,0.0455,0.0521,0.069,0.0502,,,,,
HashRate,0.0645,0.046,0.0549,0.0598,0.0493,0.0572,0.0453,0.0531,0.0596,0.0496,0.0535,0.0454,0.0537,0.0593,0.0501,0.0513,0.0451,0.0528,0.0591,0.0505,0.0489,0.0453,0.0517,0.0589,0.0514,,,,,
OAS,0.0682,0.0463,0.0551,0.0601,0.0485,0.0587,0.0458,0.0538,0.061,0.0482,0.0549,0.0457,0.0532,0.061,0.0479,0.0524,0.0456,0.0533,0.0607,0.0478,0.0501,0.0456,0.0524,0.061,0.0474,,,,,
PriceUSD,,,,,,0.0554,0.0457,0.0532,0.0538,0.0443,0.0523,0.0457,0.0534,0.0537,0.0447,0.0501,0.0453,0.0528,0.0535,0.0445,0.0481,0.0453,0.0515,0.0534,0.0445,0.0466,0.045,0.052,0.0531,0.044
RevUSD,0.0649,0.0461,0.0549,0.0607,0.0493,0.0572,0.0454,0.053,0.0604,0.0496,0.0535,0.0454,0.0539,0.0601,0.05,0.0512,0.0451,0.0526,0.0598,0.0505,0.0488,0.0452,0.0517,0.0596,0.0512,,,,,
Risk_Free,0.067,0.0464,0.0548,0.0496,0.0486,0.0581,0.0456,0.0529,0.0494,0.0489,0.0545,0.0455,0.0529,0.0493,0.0495,0.0516,0.0452,0.0527,0.0489,0.0497,0.049,0.0452,0.0516,0.0486,0.0503,,,,,
Ten_Year,0.0647,0.0463,0.0552,0.0498,0.0488,0.0572,0.0456,0.0535,0.0496,0.049,0.0535,0.0454,0.0533,0.0494,0.0494,0.0511,0.0451,0.0528,0.049,0.0497,0.0488,0.0452,0.0518,0.0489,0.0503,,,,,
Term_Spread,0.0649,0.0465,0.0552,0.0497,0.0483,0.0572,0.0457,0.0534,0.0493,0.0483,0.0533,0.0456,0.0535,0.0492,0.0491,0.051,0.0452,0.0527,0.0488,0.0493,0.0487,0.0451,0.0511,0.0486,0.05,,,,,
Two_Year,0.0649,0.0462,0.0548,0.0511,0.0493,0.0576,0.0456,0.0529,0.0509,0.0491,0.0539,0.0455,0.0535,0.0507,0.0496,0.0515,0.0452,0.0529,0.0504,0.0499,0.0493,0.0451,0.0516,0.0502,0.0506,,,,,
TxTfrValAdjUSD,0.0677,0.0459,0.0545,0.056,0.0511,0.0577,0.0455,0.0526,0.0541,0.0507,0.054,0.0454,0.0525,0.0533,0.0506,0.0512,0.0451,0.0523,0.0532,0.0501,0.0488,0.0452,0.0516,0.0524,0.0498,,,,,
URTH,0.0646,0.0459,0.0542,0.0489,0.0488,0.0578,0.0454,0.0525,0.0487,0.049,0.0545,0.0455,0.0528,0.0485,0.0497,0.0521,0.0453,0.0524,0.0482,0.0501,0.05,0.0453,0.0511,0.048,0.0507,,,,,
USD_Index,0.0636,0.0462,0.0543,0.0489,0.049,0.0565,0.0456,0.0535,0.0486,0.0491,0.0528,0.0456,0.0536,0.0484,0.0499,0.0507,0.0453,0.0521,0.0481,0.0503,0.0486,0.0451,0.0515,0.0479,0.0509,,,,,
US_News_Sentiment,0.0679,0.0464,0.0544,0.0645,0.0501,0.0586,0.0456,0.0526,0.0652,0.0496,0.054,0.0456,0.053,0.0659,0.049,0.0514,0.0453,0.0526,0.0665,0.0484,0.0491,0.0454,0.0516,0.0668,0.0479,,,,,
VIX,0.0682,0.0464,0.0558,0.0694,0.049,0.06,0.046,0.0542,0.0693,0.0489,0.0549,0.0456,0.0537,0.0699,0.0485,0.0526,0.0454,0.0533,0.0702,0.0477,0.0506,0.0456,0.0523,0.0697,0.0475,,,,,
^GSPC,0.065,0.046,0.0541,0.0489,0.0488,0.0586,0.0455,0.0528,0.0487,0.049,0.0546,0.0454,0.0528,0.0485,0.0497,0.0521,0.0453,0.0527,0.0482,0.05,0.0499,0.0452,0.0512,0.048,0.0507,,,,,
