feature,RelR2_ols_ts30,RelR2_rf_ts30,RelR2_xgb_ts30,RelR2_mlp_ts30,RelR2_svr_ts30,RelR2_ols_ts45,RelR2_rf_ts45,RelR2_xgb_ts45,RelR2_mlp_ts45,RelR2_svr_ts45,RelR2_ols_ts60,RelR2_rf_ts60,RelR2_xgb_ts60,RelR2_mlp_ts60,RelR2_svr_ts60,RelR2_ols_ts75,RelR2_rf_ts75,RelR2_xgb_ts75,RelR2_mlp_ts75,RelR2_svr_ts75,RelR2_ols_ts90,RelR2_rf_ts90,RelR2_xgb_ts90,RelR2_mlp_ts90,RelR2_svr_ts90
BlkCnt,-0.0479,0.0092,-0.0114,-0.4034,0.0534,-0.037,0.0095,-0.0211,-0.403,0.0586,-0.0251,0.0016,0.0061,-0.4197,0.0652,-0.0204,0.0042,0.0078,-0.415,0.0747,-0.0157,0.0008,0.0168,-0.437,0.0781
BlkSizeMeanByte,-0.0743,0.0041,0.0068,-0.147,0.0218,-0.0383,-0.0013,0.0042,-0.1466,0.0105,-0.0248,0.0015,0.006,-0.1642,0.0174,-0.0239,-0.0065,0.0044,-0.1513,0.0238,-0.0178,-0.0025,0.0274,-0.1667,0.027
DiffMean,-0.4748,0.0071,0.0212,0.1767,0.0059,-0.0468,0.0012,0.0118,0.1886,0.0011,-0.028,0.0015,0.0272,0.1836,-0.0016,-0.0182,0.0033,0.0194,0.2,0.0011,-0.0157,0.0002,0.0103,0.1936,-0.0039
Expected_Inflation,-0.0473,0.0141,0.0007,0.1679,0.0019,-0.0432,0.0039,-0.0041,0.181,0.0017,-0.0301,-0.0019,0.0169,0.1741,0.0053,-0.0206,0.0081,0.0022,0.1886,0.004,-0.0148,-0.0061,-0.0036,0.1842,0.0042
FeeMeanUSD,-0.1201,0.0004,0.0055,-0.6203,0.0387,-0.0861,-0.0141,-0.0386,-0.6846,0.0182,-0.0576,-0.0216,-0.0318,-0.6891,0.0364,-0.0477,-0.006,-0.0204,-0.6766,0.0387,-0.0322,0.0015,-0.0013,-0.6856,0.045
HashRate,-0.0437,0.0131,0.0038,-0.2191,0.0253,-0.0328,0.0055,0.0126,-0.22,0.0059,-0.0163,0.0087,0.0287,-0.2427,0.0032,-0.013,0.007,0.0189,-0.2215,0.0053,-0.0066,0.0073,0.0434,-0.2329,0.0046
OAS,-0.1018,-0.0024,-0.0046,-0.2915,0.1018,-0.0829,-0.0132,-0.0363,-0.331,0.0755,-0.0529,-0.0124,-0.015,-0.38,0.0846,-0.0472,-0.0085,-0.0014,-0.3801,0.0878,-0.042,-0.0052,0.0107,-0.4129,0.0838
PriceUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RevUSD,-0.0456,0.0138,0.0183,-0.2538,0.0201,-0.029,0.0069,-0.003,-0.2442,0.0041,-0.0162,0.0095,0.0084,-0.2652,0.0019,-0.0125,0.0083,0.0095,-0.2413,0.0163,-0.0052,0.009,0.0209,-0.2438,0.0171
Risk_Free,-0.0869,0.0084,0.0147,0.1569,0.0034,-0.0278,0.0058,-0.0121,0.1732,0.0009,-0.0204,0.0072,-0.0083,0.1646,0.0017,-0.0178,0.0057,-0.0009,0.1821,0.0054,-0.015,-0.0034,-0.0001,0.1784,0.0048
Ten_Year,-0.0467,0.0141,0.0154,0.1529,0.0007,-0.0298,0.0051,-0.0087,0.1647,0.0018,-0.0222,-0.0074,0.0052,0.1583,-0.0015,-0.0189,-0.0032,-0.0006,0.1727,0.0056,-0.0128,-0.0056,0.0152,0.1671,0.0027
Term_Spread,-0.0373,0.0034,0.0093,0.1612,0.0062,-0.0288,0.0044,-0.0057,0.172,0.0052,-0.0188,0.0044,0.0234,0.1683,0.0057,-0.0167,0.0084,0.0169,0.1796,0.01,-0.0153,0.0054,0.0262,0.1748,0.0066
Two_Year,-0.0603,0.0074,0.0105,0.107,-0.0015,-0.0389,0.0016,-0.0266,0.1194,-0.0023,-0.032,-0.0065,0.0028,0.1138,-0.0013,-0.0237,-0.0002,-0.0034,0.1285,0.0046,-0.0138,-0.0068,-0.0083,0.1227,0.0076
TxTfrValAdjUSD,-0.0634,0.0136,0.019,0.0136,0.0505,-0.0328,0.011,0.0051,0.0547,0.0335,-0.0299,0.0088,0.0153,0.0623,0.0383,-0.0252,0.003,0.0059,0.0793,0.0439,-0.0208,-0.0043,0.0305,0.0803,0.0379
URTH,-0.0855,0.0105,0.0244,0.183,0.002,-0.0825,0.005,-0.0122,0.1944,0.0022,-0.0479,0.0052,0.0161,0.1887,0.0017,-0.0348,-0.0001,-0.0009,0.203,0.0022,-0.0289,-0.0037,0.0051,0.1995,0.0031
USD_Index,-0.0199,0.0023,-0.0159,0.1855,-0.0001,-0.0203,-0.0003,0.0026,0.1977,0.0,-0.0164,0.0012,0.0223,0.1912,0.0003,-0.0154,0.0023,0.0125,0.2045,0.0009,-0.0108,0.0014,0.011,0.2012,0.001
US_News_Sentiment,-0.0636,0.0043,0.0077,-0.5089,0.0925,-0.057,-0.0011,-0.0122,-0.5949,0.083,-0.0449,-0.0195,-0.0023,-0.676,0.0871,-0.0406,-0.0145,-0.0235,-0.676,0.0865,-0.0286,-0.0186,-0.0038,-0.6881,0.0841
VIX,-0.1008,0.0046,-0.0154,-0.6947,0.0742,-0.107,-0.0041,-0.0274,-0.6929,0.0608,-0.0871,-0.0058,-0.0094,-0.7418,0.0737,-0.0745,-0.005,0.0006,-0.7763,0.0735,-0.0573,-0.0096,0.0127,-0.848,0.0655
^GSPC,-0.0888,0.0109,0.0271,0.1829,0.0016,-0.08,-0.0004,0.0032,0.1934,0.0014,-0.0524,0.0001,0.0017,0.1883,0.0016,-0.0365,0.0,0.0039,0.2029,0.0023,-0.0301,-0.0019,0.0078,0.1994,0.0036
