feature,Rank,Mean R²,Median R²,Std Dev,Min,Max,Positive Share
DiffMean,1,0.05400999999999999,0.01145,0.08040405135118635,-0.0039,0.2,0.9
URTH,2,0.05150500000000001,0.00405,0.084942001729973,-0.0195,0.203,0.75
USD_Index,3,0.050349999999999985,0.00145,0.08646701531128563,-0.0072,0.2045,0.75
Risk_Free,4,0.04890500000000001,0.00695,0.0728911912590122,-0.0034,0.1821,0.95
Term_Spread,5,0.046105000000000014,0.0063999999999999994,0.07434591607373,-0.0101,0.1796,0.85
Expected_Inflation,6,0.045395,0.0040999999999999995,0.0795556242015941,-0.0131,0.1886,0.7
Ten_Year,7,0.041580000000000006,0.00465,0.07285945807909187,-0.0335,0.1727,0.75
TxTfrValAdjUSD,8,0.03063,0.03325,0.025614820956461493,-0.0043,0.0803,0.95
Two_Year,9,0.027165000000000005,0.0007,0.0549715263616203,-0.0283,0.1285,0.5
PriceUSD,10,0.0,0.0,0.0,0.0,0.0,0.0
BlkSizeMeanByte,11,-0.03438999999999999,0.0,0.072498238817084,-0.1667,0.027,0.5
HashRate,12,-0.050045000000000006,0.0057,0.10538244373408893,-0.2427,0.0296,0.7
RevUSD,13,-0.054325,0.00865,0.1163350328509046,-0.2652,0.045,0.7
OAS,14,-0.07295,-0.010450000000000001,0.175867699975683,-0.4129,0.1018,0.35
BlkCnt,15,-0.0879,0.0029,0.19665529018537672,-0.437,0.0781,0.6
US_News_Sentiment,16,-0.13951,-0.01655,0.2949502204208632,-0.6881,0.0925,0.4
FeeMeanUSD,17,-0.16601,-0.010499999999999999,0.3005303503370071,-0.6891,0.045,0.35
VIX,18,-0.17564499999999997,-0.007699999999999999,0.34370411307126547,-0.848,0.0742,0.3
^GSPC,19,-208070.568275,-0.02465,369929.4698817109,-862343.4768,0.1612,0.25
