feature,ols,rf,xgb,mlp,svr
BlkCnt,-0.0157,0.0008,0.0168,-0.437,0.0781
BlkSizeMeanByte,-0.0178,-0.0025,0.0274,-0.1667,0.027
DiffMean,-0.0157,0.0002,0.0103,0.1936,-0.0039
Expected_Inflation,-0.0148,-0.0061,-0.0036,0.1842,0.0042
FeeMeanUSD,-0.0322,0.0015,-0.0013,-0.6856,0.045
HashRate,-0.0066,0.0073,0.0434,-0.2329,0.0046
OAS,-0.042,-0.0052,0.0107,-0.4129,0.0838
PriceUSD,0.0,0.0,0.0,0.0,0.0
RevUSD,-0.0052,0.009,0.0209,-0.2438,0.0171
Risk_Free,-0.015,-0.0034,-0.0001,0.1784,0.0048
Ten_Year,-0.0128,-0.0056,0.0152,0.1671,0.0027
Term_Spread,-0.0153,0.0054,0.0262,0.1748,0.0066
Two_Year,-0.0138,-0.0068,-0.0083,0.1227,0.0076
TxTfrValAdjUSD,-0.0208,-0.0043,0.0305,0.0803,0.0379
URTH,-0.0289,-0.0037,0.0051,0.1995,0.0031
USD_Index,-0.0108,0.0014,0.011,0.2012,0.001
US_News_Sentiment,-0.0286,-0.0186,-0.0038,-0.6881,0.0841
VIX,-0.0573,-0.0096,0.0127,-0.848,0.0655
^GSPC,-0.0301,-0.0019,0.0078,0.1994,0.0036
